id;val
0;0.9933843057025501,0.38108404630225645,0.008576605636230195,0.681121544992617,0.3285552363018345,0.10764431057866497,0.24833346707468018,0.8043606116812628,0.16402349357478507,0.7937998616987904
1;0.7767213576322692,0.5607574759313925,0.3261508116615607,0.2696495436747174,0.3880183973757835,0.3531658558756968,0.4592025074314544,0.35884972148452654,0.2891238239810804,0.8924424506895617
2;0.04073707256153036,0.9022658087292931,0.6128031841620672,0.2129945794818342,0.5380457402770735,0.08405010117039391,0.18440211162225517,0.77953561813182,0.5118349385780997,0.8915628575157403
3;0.17552635960701968,0.08485497823926336,0.4570902060333303,0.8941529238722915,0.456906695713468,0.13020794629200894,0.22658820090496368,0.5671073539282648,0.4950559182631753,0.7088841419626044
4;0.6790297154015892,0.7555728462512971,0.6854957157995953,0.2205183282530836,0.7415479496763284,0.10269288887560568,0.7913202948840821,0.299570606310091,0.5110412444682083,0.9052000547031555
5;0.11850617144382258,0.9852884667038377,0.8880758278149492,0.7221229170080424,0.8053652452563769,0.7381259619279216,0.33968093028158264,0.2669121051974236,0.567969342147753,0.38809098367452544
6;0.49531118139451535,0.4993309696779371,0.7157565501582733,0.9644977881312782,0.9711808600603934,0.9145387872130529,0.0169677946123995,0.05353249537802285,0.4583101418774589,0.10551597537039625
7;0.6677933972994168,0.9311272787929564,0.2097540494329324,0.10570054363295411,0.32627921453864217,0.446299585726194,0.0863722493024156,0.7607319297028067,0.3187123220348601,0.6963109130203287
8;0.9404878760972236,0.7597833513396772,0.8828424384663766,0.5930837319260005,0.29401222031919794,0.6168312928591622,0.03999414148327762,0.7845295059890756,0.6184698267233903,0.5026458124149724
9;0.1790649232660635,0.3396021753570875,0.058168987698580366,0.06690149593773032,0.7609418290829275,0.08481872861439355,0.7444885767917675,0.8208300034425916,0.9298779540644617,0.7205791062003122
10;0.8090115369866981,0.19097759808061365,0.1585756411034881,0.47455947272482457,0.336879619299271,0.5677148723004881,0.5720630769302472,0.7520788861085604,0.2832203778142033,0.5399724788335674
